Line,Category,Subsystem,Qty,Part / Assembly,Recommended Model / Spec,Required,Purpose / Placement,Notes,Est. Unit USD,Est. Ext. USD,Source / Search
19,Power,Protection,1,Inline fuse,3A-5A resettable/polyfuse or blade fuse holder,Yes,Protects main 5V rail,Place after buck output.,3,3,
20,Power,Bulk capacitor,1,Low ESR capacitor,"470µF-1000µF, 10V or higher electrolytic/polymer",Yes,Reduces 5V rail dips near Pi/display,Observe polarity.,2,2,
21,Power,Power switch,1,Panel mount switch,Rated for 5V/3A+ DC or switch upstream low-current enable,Yes,Main power control,Avoid undersized slide switches on high current rail.,4,4,
22,Power,Battery wiring,1,Power wire set,"18-22AWG silicone wire, red/black",Yes,Power distribution,Use thicker wire on main 5V/GND path.,8,8,
23,USB / internal I/O,USB hub,1,Compact powered USB hub,Low-profile 4-port USB hub,Recommended,Expands Pi USB for BLE/mic/ESP32/devices,Prefer powered/short internal cabling.,15,15,
24,USB / internal I/O,USB cables,1,USB cable set,Short USB-A/micro-USB/USB-C cables as required,Yes,"Internal links between Pi, ESP32, nRF dongle, hub","Use short, flexible cables to reduce case bulk.",15,15,
25,Wiring,GPIO harness,1,Dupont/JST wire kit,Female-female Dupont plus JST-XH/PH connectors,Yes,"Buttons, power sense, internal headers",Label each harness.,12,12,
26,Wiring,Heat shrink,1,Heat shrink tubing kit,Assorted small diameter heat shrink,Yes,Insulation and strain relief,Use on all solder joints.,8,8,
27,Wiring,Cable management,1,Small zip ties / adhesive anchors,Nylon micro zip ties + cable tie mounts,Recommended,Internal cable control,Keep cables away from antennas and vents.,5,5,
28,Mechanical,Printable case,1,KoalaByte Blue case,RevA6/RevA11 PETG printable case with top antenna cutouts,Yes,Device enclosure,"Print case shell, faceplate, rear cover, ears, buttons bezel.",20,20,local print
29,Mechanical,Fasteners M2.5,1,M2.5 standoff kit,"M2.5 brass/nylon standoffs, screws, nuts assortment",Yes,Raspberry Pi/display/module mounting,Common for Pi hardware.,10,10,
30,Mechanical,Fasteners M3,1,M3 screw kit,"M3 screws/nuts/inserts assortment",Yes,Case assembly,Heat-set inserts recommended for serviceability.,10,10,
31,Mechanical,Rubber feet,4,Adhesive rubber feet,Small black rubber feet,Optional,Stability and surface protection,Mount on back/bottom.,2,8,
32,Mechanical,Vent mesh,1,Speaker/vent mesh,Fine black plastic/metal mesh,Optional,Speaker grille and vent protection,Keeps debris out.,4,4,
33,Tools / consumables,Soldering consumables,1,Solder/flux/wick,Lead-free or 63/37 solder + flux,Build supply,Assembly,Not part of final device but needed.,15,15,
34,Tools / consumables,Adhesive,1,Electronics-safe adhesive,3M VHB / E6000 / hot glue for strain relief,Build supply,Mounting/strain relief,Do not block vents or service access.,8,8,
35,Tools / consumables,Labels,1,Wire labels,Printable or wraparound labels,Recommended,Harness/service labeling,"Label power, GPIO, USB, antenna routes.",5,5,
36,Software / media,OS image,1,Raspberry Pi OS Lite/Bookworm,64-bit preferred where compatible,Yes,Base OS,Install Python dependencies from repo.,0,0,raspberrypi.com/software/
